decimalism,hexadecimal,kanji
196939,0x3014b,𰅋
196940,0x3014c,𰅌
196941,0x3014d,𰅍
196942,0x3014e,𰅎
196943,0x3014f,𰅏
196944,0x30150,𰅐
196945,0x30151,𰅑
196946,0x30152,𰅒
196947,0x30153,𰅓
196948,0x30154,𰅔
196949,0x30155,𰅕
196950,0x30156,𰅖
196951,0x30157,𰅗
196952,0x30158,𰅘
196953,0x30159,𰅙
196954,0x3015a,𰅚
196955,0x3015b,𰅛
196956,0x3015c,𰅜
196957,0x3015d,𰅝
196958,0x3015e,𰅞
196959,0x3015f,𰅟
196960,0x30160,𰅠
196961,0x30161,𰅡
196962,0x30162,𰅢
196963,0x30163,𰅣
196964,0x30164,𰅤
196965,0x30165,𰅥
196966,0x30166,𰅦
196967,0x30167,𰅧
196968,0x30168,𰅨
196969,0x30169,𰅩
196970,0x3016a,𰅪
196971,0x3016b,𰅫
196972,0x3016c,𰅬
196973,0x3016d,𰅭
196974,0x3016e,𰅮
196975,0x3016f,𰅯
196976,0x30170,𰅰
196977,0x30171,𰅱
196978,0x30172,𰅲
196979,0x30173,𰅳
196980,0x30174,𰅴
196981,0x30175,𰅵
196982,0x30176,𰅶
196983,0x30177,𰅷
196984,0x30178,𰅸
196985,0x30179,𰅹
196986,0x3017a,𰅺
196987,0x3017b,𰅻
196988,0x3017c,𰅼
196989,0x3017d,𰅽
196990,0x3017e,𰅾
196991,0x3017f,𰅿
196992,0x30180,𰆀
196993,0x30181,𰆁
196994,0x30182,𰆂
196995,0x30183,𰆃
196996,0x30184,𰆄
196997,0x30185,𰆅
196998,0x30186,𰆆
196999,0x30187,𰆇
197000,0x30188,𰆈
197001,0x30189,𰆉
197002,0x3018a,𰆊
197003,0x3018b,𰆋
197004,0x3018c,𰆌
197005,0x3018d,𰆍
197006,0x3018e,𰆎
197007,0x3018f,𰆏
197008,0x30190,𰆐
197009,0x30191,𰆑
197010,0x30192,𰆒
197011,0x30193,𰆓
197012,0x30194,𰆔
197013,0x30195,𰆕
197014,0x30196,𰆖
197015,0x30197,𰆗
197016,0x30198,𰆘
197017,0x30199,𰆙
197018,0x3019a,𰆚
197019,0x3019b,𰆛
197020,0x3019c,𰆜
197021,0x3019d,𰆝
197022,0x3019e,𰆞
197023,0x3019f,𰆟
197024,0x301a0,𰆠
197025,0x301a1,𰆡
197026,0x301a2,𰆢
197027,0x301a3,𰆣
197028,0x301a4,𰆤
197029,0x301a5,𰆥
197030,0x301a6,𰆦
197031,0x301a7,𰆧
197032,0x301a8,𰆨
197033,0x301a9,𰆩
197034,0x301aa,𰆪
197035,0x301ab,𰆫
197036,0x301ac,𰆬
197037,0x301ad,𰆭
197038,0x301ae,𰆮
197039,0x301af,𰆯
197040,0x301b0,𰆰
197041,0x301b1,𰆱
197042,0x301b2,𰆲
197043,0x301b3,𰆳
197044,0x301b4,𰆴
197045,0x301b5,𰆵
197046,0x301b6,𰆶
197047,0x301b7,𰆷
197048,0x301b8,𰆸
197049,0x301b9,𰆹
197050,0x301ba,𰆺
197051,0x301bb,𰆻
197052,0x301bc,𰆼
197053,0x301bd,𰆽
197054,0x301be,𰆾
197055,0x301bf,𰆿
197056,0x301c0,𰇀
197057,0x301c1,𰇁
197058,0x301c2,𰇂
197059,0x301c3,𰇃
197060,0x301c4,𰇄
197061,0x301c5,𰇅
197062,0x301c6,𰇆
197063,0x301c7,𰇇
197064,0x301c8,𰇈
197065,0x301c9,𰇉
197066,0x301ca,𰇊
197067,0x301cb,𰇋
197068,0x301cc,𰇌
197069,0x301cd,𰇍
197070,0x301ce,𰇎
197071,0x301cf,𰇏
197072,0x301d0,𰇐
197073,0x301d1,𰇑
197074,0x301d2,𰇒
197075,0x301d3,𰇓
197076,0x301d4,𰇔
197077,0x301d5,𰇕
197078,0x301d6,𰇖
197079,0x301d7,𰇗
197080,0x301d8,𰇘
197081,0x301d9,𰇙
197082,0x301da,𰇚
197083,0x301db,𰇛
197084,0x301dc,𰇜
197085,0x301dd,𰇝
197086,0x301de,𰇞
197087,0x301df,𰇟
197088,0x301e0,𰇠
197089,0x301e1,𰇡
197090,0x301e2,𰇢
197091,0x301e3,𰇣
197092,0x301e4,𰇤
197093,0x301e5,𰇥
197094,0x301e6,𰇦
197095,0x301e7,𰇧
197096,0x301e8,𰇨
197097,0x301e9,𰇩
197098,0x301ea,𰇪
197099,0x301eb,𰇫
197100,0x301ec,𰇬
197101,0x301ed,𰇭
197102,0x301ee,𰇮
197103,0x301ef,𰇯
197104,0x301f0,𰇰
197105,0x301f1,𰇱
197106,0x301f2,𰇲
197107,0x301f3,𰇳
197108,0x301f4,𰇴
197109,0x301f5,𰇵
197110,0x301f6,𰇶
197111,0x301f7,𰇷
197112,0x301f8,𰇸
197113,0x301f9,𰇹
197114,0x301fa,𰇺
197115,0x301fb,𰇻
197116,0x301fc,𰇼
197117,0x301fd,𰇽
197118,0x301fe,𰇾
197119,0x301ff,𰇿
197120,0x30200,𰈀
197121,0x30201,𰈁
197122,0x30202,𰈂
197123,0x30203,𰈃
197124,0x30204,𰈄
197125,0x30205,𰈅
197126,0x30206,𰈆
197127,0x30207,𰈇
197128,0x30208,𰈈
197129,0x30209,𰈉
197130,0x3020a,𰈊
197131,0x3020b,𰈋
197132,0x3020c,𰈌
197133,0x3020d,𰈍
197134,0x3020e,𰈎
197135,0x3020f,𰈏
197136,0x30210,𰈐
197137,0x30211,𰈑
197138,0x30212,𰈒
197139,0x30213,𰈓
197140,0x30214,𰈔
197141,0x30215,𰈕
197142,0x30216,𰈖
197143,0x30217,𰈗
197144,0x30218,𰈘
197145,0x30219,𰈙
197146,0x3021a,𰈚
197147,0x3021b,𰈛
197148,0x3021c,𰈜
197149,0x3021d,𰈝
197150,0x3021e,𰈞
197151,0x3021f,𰈟
197152,0x30220,𰈠
197153,0x30221,𰈡
197154,0x30222,𰈢
197155,0x30223,𰈣
197156,0x30224,𰈤
197157,0x30225,𰈥
197158,0x30226,𰈦
197159,0x30227,𰈧
197160,0x30228,𰈨
197161,0x30229,𰈩
197162,0x3022a,𰈪
197163,0x3022b,𰈫
197164,0x3022c,𰈬
197165,0x3022d,𰈭
197166,0x3022e,𰈮
197167,0x3022f,𰈯
197168,0x30230,𰈰
197169,0x30231,𰈱
197170,0x30232,𰈲
197171,0x30233,𰈳
197172,0x30234,𰈴
197173,0x30235,𰈵
197174,0x30236,𰈶
197175,0x30237,𰈷
197176,0x30238,𰈸
197177,0x30239,𰈹
197178,0x3023a,𰈺
197179,0x3023b,𰈻
197180,0x3023c,𰈼
197181,0x3023d,𰈽
197182,0x3023e,𰈾
197183,0x3023f,𰈿
197184,0x30240,𰉀
197185,0x30241,𰉁
197186,0x30242,𰉂
197187,0x30243,𰉃
197188,0x30244,𰉄
197189,0x30245,𰉅
197190,0x30246,𰉆
197191,0x30247,𰉇
197192,0x30248,𰉈
197193,0x30249,𰉉
197194,0x3024a,𰉊
197195,0x3024b,𰉋
197196,0x3024c,𰉌
197197,0x3024d,𰉍
197198,0x3024e,𰉎
197199,0x3024f,𰉏
197200,0x30250,𰉐
197201,0x30251,𰉑
197202,0x30252,𰉒
197203,0x30253,𰉓
197204,0x30254,𰉔
197205,0x30255,𰉕
197206,0x30256,𰉖
197207,0x30257,𰉗
197208,0x30258,𰉘
197209,0x30259,𰉙
197210,0x3025a,𰉚
197211,0x3025b,𰉛
197212,0x3025c,𰉜
197213,0x3025d,𰉝
197214,0x3025e,𰉞
197215,0x3025f,𰉟
197216,0x30260,𰉠
197217,0x30261,𰉡
197218,0x30262,𰉢
197219,0x30263,𰉣
197220,0x30264,𰉤
197221,0x30265,𰉥
197222,0x30266,𰉦
197223,0x30267,𰉧
197224,0x30268,𰉨
197225,0x30269,𰉩
197226,0x3026a,𰉪
197227,0x3026b,𰉫
197228,0x3026c,𰉬
197229,0x3026d,𰉭
197230,0x3026e,𰉮
197231,0x3026f,𰉯
197232,0x30270,𰉰
197233,0x30271,𰉱
197234,0x30272,𰉲
197235,0x30273,𰉳
197236,0x30274,𰉴
197237,0x30275,𰉵
197238,0x30276,𰉶
197239,0x30277,𰉷
197240,0x30278,𰉸
197241,0x30279,𰉹
197242,0x3027a,𰉺
197243,0x3027b,𰉻
197244,0x3027c,𰉼
197245,0x3027d,𰉽
197246,0x3027e,𰉾
