decimalism,hexadecimal,kanji
131615,0x2021f,𠈟
131616,0x20220,𠈠
131617,0x20221,𠈡
131618,0x20222,𠈢
131619,0x20223,𠈣
131620,0x20224,𠈤
131621,0x20225,𠈥
131622,0x20226,𠈦
131623,0x20227,𠈧
131624,0x20228,𠈨
131625,0x20229,𠈩
131626,0x2022a,𠈪
131627,0x2022b,𠈫
131628,0x2022c,𠈬
131629,0x2022d,𠈭
131630,0x2022e,𠈮
131631,0x2022f,𠈯
131632,0x20230,𠈰
131633,0x20231,𠈱
131634,0x20232,𠈲
131635,0x20233,𠈳
131636,0x20234,𠈴
131637,0x20235,𠈵
131638,0x20236,𠈶
131639,0x20237,𠈷
131640,0x20238,𠈸
131641,0x20239,𠈹
131642,0x2023a,𠈺
131643,0x2023b,𠈻
131644,0x2023c,𠈼
131645,0x2023d,𠈽
131646,0x2023e,𠈾
131647,0x2023f,𠈿
131648,0x20240,𠉀
131649,0x20241,𠉁
131650,0x20242,𠉂
131651,0x20243,𠉃
131652,0x20244,𠉄
131653,0x20245,𠉅
131654,0x20246,𠉆
131655,0x20247,𠉇
131656,0x20248,𠉈
131657,0x20249,𠉉
131658,0x2024a,𠉊
131659,0x2024b,𠉋
131660,0x2024c,𠉌
131661,0x2024d,𠉍
131662,0x2024e,𠉎
131663,0x2024f,𠉏
131664,0x20250,𠉐
131665,0x20251,𠉑
131666,0x20252,𠉒
131667,0x20253,𠉓
131668,0x20254,𠉔
131669,0x20255,𠉕
131670,0x20256,𠉖
131671,0x20257,𠉗
131672,0x20258,𠉘
131673,0x20259,𠉙
131674,0x2025a,𠉚
131675,0x2025b,𠉛
131676,0x2025c,𠉜
131677,0x2025d,𠉝
131678,0x2025e,𠉞
131679,0x2025f,𠉟
131680,0x20260,𠉠
131681,0x20261,𠉡
131682,0x20262,𠉢
131683,0x20263,𠉣
131684,0x20264,𠉤
131685,0x20265,𠉥
131686,0x20266,𠉦
131687,0x20267,𠉧
131688,0x20268,𠉨
131689,0x20269,𠉩
131690,0x2026a,𠉪
131691,0x2026b,𠉫
131692,0x2026c,𠉬
131693,0x2026d,𠉭
131694,0x2026e,𠉮
131695,0x2026f,𠉯
131696,0x20270,𠉰
131697,0x20271,𠉱
131698,0x20272,𠉲
131699,0x20273,𠉳
131700,0x20274,𠉴
131701,0x20275,𠉵
131702,0x20276,𠉶
131703,0x20277,𠉷
131704,0x20278,𠉸
131705,0x20279,𠉹
131706,0x2027a,𠉺
131707,0x2027b,𠉻
131708,0x2027c,𠉼
131709,0x2027d,𠉽
131710,0x2027e,𠉾
131711,0x2027f,𠉿
131712,0x20280,𠊀
131713,0x20281,𠊁
131714,0x20282,𠊂
131715,0x20283,𠊃
131716,0x20284,𠊄
131717,0x20285,𠊅
131718,0x20286,𠊆
